epsilon,sigma
0.2956226887,605.3339063
0.2964555222,605.7003213
0.2972886057,606.0580488
0.2981216892,606.422967
0.2989545227,606.7680975
0.2997873563,607.1493735
0.3006201899,607.5016595
0.3014532734,607.8628184
0.3022863568,608.2078783
0.3031191904,608.5646906
0.303952024,608.9235371
0.3047848576,609.2709237
0.305617941,609.617335
0.3064510245,609.946018
0.3072836082,610.2897353
0.3081164418,610.6462638
0.3089497751,610.9855371
0.3097823588,611.3348202
0.3106154423,611.6639489
0.3114482759,611.9996686
0.3122811094,612.3186125
0.313113943,612.6392966
0.3139470265,612.9869354
0.3147798601,613.3126956
0.3156129435,613.6348286
0.3164457771,613.9688081
0.3172788606,614.3002146
0.3181116942,614.616223
0.3189447776,614.9304196
0.3197773613,615.2400885
0.3206101949,615.5655385
0.3214430285,615.8772388
0.3222761119,616.1852763
0.3231091954,616.4926863
0.323942029,616.7896058
0.3247746127,617.108433
0.325607946,617.4240942
0.3264407796,617.7183205
0.3272738631,618.0067364
0.3281066967,618.2954393
0.3289395302,618.5856044
0.3297721139,618.873679
0.3306054473,619.1678016
0.331438031,619.4524521
0.3322711144,619.7300503
0.333103948,620.0233074
0.3339370315,620.311521
0.3347698651,620.5867482
0.3356029485,620.8550434
0.3364357821,621.1193516
0.3372688656,621.3990533
0.3381016992,621.6686552
0.3389347826,621.9227775
0.3397673663,622.1959596
0.3406004498,622.4406954
0.3414332834,622.702218
0.3422663668,622.9658376
0.3430992004,623.2126219
0.3439322839,623.4531994
0.3447648676,623.6890836
0.3455977011,623.9219528
0.3464305347,624.1423104
0.3472636182,624.3829489
0.3480964518,624.6050544
0.3489297851,624.8266521
0.3497623688,625.0549497
0.3505954523,625.2744177
0.3514282859,625.4768957
0.3522613693,625.6800707
0.3530942029,625.8646004
0.3539270365,626.0661217
0.3547598701,626.2577143
0.3555929535,626.4311154
0.356426037,626.6077643
0.3572588706,626.7627106
0.3580914543,626.9407654
0.3589247876,627.1037736
0.3597573713,627.2531793
0.3605904548,627.3730237
0.3614232884,627.5127426
0.3622561219,627.638612
0.3630889555,627.747624
0.363922039,627.8474611
0.3647546227,627.9369472
0.365587956,628.0337548
0.3664207896,628.1212839
0.3672538731,628.180007
0.3680867066,628.2428471
0.36892004,628.2755701
0.3697523738,628.2872432
0.3705852074,628.3175096
0.3714182909,628.3250905
0.3722513743,628.2994566
0.3730842079,628.2691162
0.3739170415,628.2142233
0.3747498751,628.1596223
0.3755829585,628.0895563
0.3764157921,627.9788513
0.3772488756,627.8679401
0.3780817091,627.7171161
0.3789145427,627.5612617
0.3797473763,627.3756646
0.3805804598,627.1787877
0.3814132934,626.9582923
0.3822463768,626.7143641
0.3830789605,626.4667081
0.3839122939,626.1844989
0.3847448776,625.861211
0.3855782109,625.5247397
0.3864107946,625.159215
0.3872438781,624.7891612
0.3880767116,624.3783338
0.3889095452,623.9383793
0.3897426287,623.4853948
0.3905754623,622.9867665
0.3914085457,622.4885893
0.3922413793,621.9637751
0.3930742129,621.3954842
0.3939072964,620.8014998
0.3947401299,620.1760053
0.3955729635,619.5309966
0.3964057971,618.8600514
0.3972386307,618.1478368
0.3980717141,617.4349999
0.3989045477,616.668443
0.3997373813,615.8966369
0.4005704648,615.0803968
0.4014032984,614.2392209
0.4022366317,613.3513576
0.4030692154,612.4468836
0.4039022989,611.5171021
0.4047351324,610.5510236
0.4055682159,609.5446092
0.4064010495,608.5132416
0.4072338831,607.4309518
0.4080667166,606.3461139
0.4088998001,605.2263202
0.4097326337,604.0457748
0.4105657171,602.8362982
0.4113985507,601.5760075
0.4122311344,600.2853268
0.413063968,599.0012453
0.4138973013,597.643435
0.4147301349,596.2566592
0.4155629685,594.8340421
0.4163958021,593.3783419
0.4172288856,591.8901722
0.4180617191,590.3300562
0.4188948026,588.7223558
0.4197273863,587.0887106
0.4205604698,585.4108409
0.4213935532,583.6763061
0.4222266367,581.907363
0.4230592204,580.0723267
0.4238923038,578.1901901
0.4247248876,576.2754905
0.425557971,574.308161
0.4263910545,572.2799651
0.4272238881,570.1847385
0.4280567216,568.0304242
0.4288895552,565.8234621
0.4297223888,563.5586453
0.4305554723,561.2234536
0.4313885557,558.8242198
0.4322213893,556.3507678
0.4330542229,553.8218883
0.4338873063,551.2030695
0.4347198901,548.5021497
0.4355532234,545.7077609
0.4363858071,542.8383204
0.4372188906,539.8727344
0.4380517241,536.7948235
0.4388848076,533.6014376
0.4397176412,530.2947747
0.4405504748,526.8406346
0.4413833083,523.2508126
0.4422163918,519.4385211
0.4430494753,515.3645343
0.4438823088,510.192705
